City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Araouane,100,ML,1563849390,43,18.9,-3.53,87.52,5.75
Hovd,0,NO,1563849391,63,63.83,10.7,66.2,9.17
Cabo San Lucas,75,MX,1563849391,83,22.89,-109.91,84.0,11.41
Nhulunbuy,0,AU,1563849392,51,-12.18,136.78,82.4,18.34
Burns Lake,100,CA,1563849392,96,54.23,-125.76,56.56,2.46
Arvika,100,SE,1563849393,100,59.65,12.59,61.0,4.7
Hofn,100,IS,1563849393,93,64.25,-15.21,40.72,10.07
Hobart,75,AU,1563849100,61,-42.88,147.33,52.0,9.17
Boa Vista,40,BR,1563849394,94,2.82,-60.67,77.0,3.36
Rikitea,33,PF,1563848813,71,-23.12,-134.97,68.8,19.93
Mount Isa,0,AU,1563849395,15,-20.73,139.49,78.8,10.29
Te Anau,1,NZ,1563849396,77,-45.41,167.72,45.58,1.07
Rockhampton,0,AU,1563849396,47,-23.38,150.51,77.0,3.36
Ancud,90,CL,1563848822,100,-41.87,-73.83,35.6,2.24
Charleville-Mezieres,57,FR,1563849210,68,49.77,4.72,66.2,3.36
Severo-Kurilsk,100,RU,1563849134,93,50.68,156.12,46.12,12.15
Ligayan,63,PH,1563849398,75,4.65,119.47,82.3,9.89
Mataura,41,NZ,1563849192,95,-46.19,168.86,46.99,3.0
Kirakira,64,SB,1563849399,77,-10.46,161.92,81.22,20.11
Hermanus,96,ZA,1563848812,71,-34.42,19.24,61.0,14.0
Puqi,0,CN,1563849401,65,29.72,113.88,92.2,12.62
Barrow,0,AR,1563848819,63,-38.31,-60.23,39.28,6.17
Rocha,100,UY,1563848823,83,-34.48,-54.34,49.9,5.84
Ushuaia,75,AR,1563849205,97,-54.81,-68.31,32.0,5.82
Coolum Beach,0,AU,1563849403,67,-26.53,153.09,75.0,3.98
Nosy Varika,1,MG,1563849403,90,-20.58,48.53,58.0,7.2
Ko Samui,20,TH,1563849404,66,9.54,99.94,87.8,2.24
Atuona,2,PF,1563848816,75,-9.8,-139.03,79.6,14.05
San Jose,1,HN,1563849405,47,14.25,-87.96,80.6,1.23
Punta Arenas,0,CL,1563849100,65,-53.16,-70.91,33.8,25.28
Vaini,75,IN,1563849196,94,15.34,74.49,71.6,9.17
Karratha,69,AU,1563849406,15,-20.74,116.85,73.84,14.76
Orje,75,NO,1563849407,93,59.48,11.66,61.0,2.24
San Quintin,0,PH,1563849407,67,17.54,120.52,86.08,4.9
Tiksi,36,RU,1563849408,32,71.64,128.87,71.14,25.75
Puerto Madryn,0,AR,1563849139,54,-42.77,-65.04,41.08,14.2
Dingle,100,PH,1563848816,71,11.0,122.67,84.46,5.28
Puerto Ayora,62,EC,1563849259,92,-0.74,-90.35,70.0,5.01
Rosarito,75,CO,1563849410,73,4.91,-75.23,75.2,3.36
Saint-Philippe,75,CA,1563849202,77,45.36,-73.48,69.01,5.82
Ribeira Grande,4,PT,1563849411,88,38.52,-28.7,71.86,17.92
Kodiak,20,US,1563849343,77,39.95,-94.76,70.0,5.82
Mehamn,0,NO,1563849412,87,71.03,27.85,57.2,2.24
Doha,0,QA,1563849302,52,25.29,51.53,91.4,1.12
Qaanaaq,100,GL,1563849332,83,77.48,-69.36,38.56,16.22
Porbandar,75,IN,1563849414,88,21.64,69.61,82.4,6.93
Tubuala,75,PA,1563849414,94,9.52,-79.03,77.0,5.82
Ulladulla,0,AU,1563849415,24,-35.36,150.48,68.0,16.11
Safford,1,US,1563849415,31,32.83,-109.71,87.8,29.97
Limbang,75,BN,1563849416,74,4.75,115.01,84.2,10.29
Dikson,100,RU,1563849341,91,73.51,80.55,34.96,8.32
Butaritari,100,KI,1563849318,69,3.07,172.79,85.36,8.03
Kapaa,75,US,1563848818,83,22.08,-159.32,78.8,9.17
Maldonado,0,UY,1563849418,76,-34.91,-54.96,51.8,14.99
Palmer,75,AU,1563849419,76,-34.85,139.16,60.01,23.04
Jutai,3,BR,1563849419,98,-1.71,-47.89,71.5,2.86
Arraial do Cabo,40,BR,1563849334,94,-22.97,-42.02,68.0,9.17
Lakes Entrance,32,AU,1563849420,45,-37.88,147.99,62.01,8.01
Provideniya,90,RU,1563849421,76,64.42,-173.23,51.8,11.18
Oxelosund,0,SE,1563849421,87,58.67,17.1,59.0,8.05
Sakata,75,JP,1563849422,74,38.92,139.93,80.6,10.29
Yellowknife,20,CA,1563848827,34,62.45,-114.38,80.6,6.93
New Norfolk,75,AU,1563848825,61,-42.78,147.06,52.0,9.17
Qom,51,IR,1563849423,23,34.64,50.88,81.94,8.16
Chuy,100,UY,1563849340,89,-33.69,-53.46,54.04,13.85
Aykhal,0,RU,1563849425,29,65.95,111.51,77.0,4.47
Margate,75,AU,1563849425,61,-43.03,147.26,53.01,9.17
Lebu,100,ET,1563849426,95,8.96,38.73,53.68,0.94
Albany,90,US,1563849194,88,42.65,-73.75,66.2,10.29
Paralimni,0,GR,1563849427,83,40.99,23.67,79.0,4.16
Castro,90,CL,1563849198,100,-42.48,-73.76,35.6,2.24
Hithadhoo,48,MV,1563849428,75,-0.6,73.08,83.38,10.25
Beira,2,ES,1563849429,100,43.2,-8.36,68.0,2.24
Vanimo,100,PG,1563849429,69,-2.67,141.3,83.2,6.93
Esperance,90,AU,1563849430,87,-33.86,121.89,55.4,17.22
Nadvoitsy,92,RU,1563849430,62,63.89,34.27,53.5,5.21
Vestmannaeyjar,100,IS,1563849431,91,63.44,-20.27,53.68,3.02
Port Alfred,0,ZA,1563849332,83,-33.59,26.89,55.0,4.0
Alyangula,54,AU,1563849375,35,-13.85,136.42,84.2,8.05
Saint George,0,GR,1563849320,68,39.45,22.34,77.0,1.32
Nishihara,75,JP,1563849433,88,35.74,139.53,82.99,5.82
Port Augusta,40,AU,1563849434,55,-32.49,137.76,62.6,20.8
Hilo,90,US,1563849326,78,19.71,-155.08,79.0,5.82
Virginia Beach,75,US,1563849369,57,36.85,-75.98,87.01,14.99
Ponta do Sol,84,BR,1563849266,82,-20.63,-46.0,56.92,6.73
Mazagao,20,BR,1563849436,100,-0.12,-51.29,80.6,3.36
Bambous Virieux,40,MU,1563849436,77,-20.34,57.76,68.0,11.41
Broken Hill,0,AU,1563849437,38,-31.97,141.45,60.8,16.11
Teodoro Sampaio,82,BR,1563849438,62,-22.53,-52.17,69.88,8.63
Abha,0,SA,1563849439,52,18.22,42.5,68.0,5.75
Busselton,100,AU,1563849439,53,-33.64,115.35,64.0,8.72
Ixtapa,90,MX,1563849440,66,20.71,-105.21,84.2,6.93
Ayan,2,IR,1563849440,56,38.23,44.7,63.76,5.97
Nikolskoye,0,RU,1563849197,87,59.7,30.79,51.8,2.24
Ballina,95,IE,1563849442,89,54.11,-9.15,66.99,11.99
Huarmey,33,PE,1563849442,88,-10.07,-78.15,62.5,19.53
College,1,US,1563849276,34,64.86,-147.8,82.0,4.7
Mahabaleshwar,86,IN,1563849443,92,17.92,73.66,77.8,1.45
Tuktoyaktuk,75,CA,1563849257,87,69.44,-133.03,55.4,5.82
Upernavik,0,GL,1563849205,82,72.79,-56.15,43.6,8.3
Cumberland,90,US,1563849445,94,41.97,-71.43,71.01,9.17
Moron,5,HT,1563849445,76,18.56,-74.26,80.32,4.38
Pevek,100,RU,1563849345,98,69.7,170.27,31.72,12.55
Olinda,40,AU,1563849446,54,-37.84,145.39,59.0,20.8
Monrovia,75,LR,1563849446,94,6.33,-10.8,75.2,11.41
Georgetown,20,GY,1563849220,100,6.8,-58.16,75.2,2.24
Menomonie,1,US,1563849447,63,44.88,-91.92,68.0,5.82
Timiryazevskiy,0,RU,1563849448,87,47.05,39.61,59.0,2.24
Haines Junction,100,CA,1563849448,88,60.75,-137.51,56.74,4.68
Kaitangata,48,NZ,1563849449,86,-46.28,169.85,50.0,5.99
Klaksvik,33,FO,1563849450,100,62.23,-6.59,51.8,3.36
Mogadishu,72,SO,1563849451,79,2.04,45.34,74.56,15.7
Bereznik,100,RU,1563849451,95,62.86,42.71,52.6,5.99
Owando,27,CG,1563849452,87,-0.49,15.91,71.68,4.18
Saldanha,4,PT,1563849453,56,41.42,-6.55,71.32,4.25
Ambilobe,85,MG,1563849453,75,-13.19,49.05,68.44,7.25
Sibu,40,MY,1563849454,88,2.29,111.83,78.8,9.17
Pochutla,75,MX,1563849454,88,15.74,-96.47,77.0,6.93
Port Elizabeth,1,US,1563849455,88,39.31,-74.98,80.01,4.74
Promissao,100,BR,1563849456,66,-21.54,-49.86,67.54,8.12
Vardo,90,US,1563849457,93,39.62,-77.74,73.99,5.82
Srednekolymsk,100,RU,1563849457,67,67.46,153.71,45.4,11.68
Naze,92,NG,1563849458,96,5.43,7.07,72.94,3.89
Bluff,0,AU,1563849265,42,-23.58,149.07,73.48,4.47
Carnarvon,0,ZA,1563849337,38,-30.97,22.13,43.96,13.98
Kushima,75,JP,1563849459,62,31.5,131.29,87.8,10.29
Fairbanks,1,US,1563849354,34,64.84,-147.72,80.6,4.7
Jardim,0,BR,1563849460,58,-21.48,-56.15,71.86,6.11
Moanda,0,CD,1563849461,91,-5.93,12.38,70.6,8.08
Sri Aman,75,MY,1563849462,94,1.24,111.46,78.8,4.7
Avarua,24,CK,1563849261,78,-21.21,-159.78,77.0,16.11
Weligama,80,LK,1563849463,76,5.97,80.42,82.66,16.42
Brebu,0,RO,1563849463,100,45.42,21.99,66.0,6.93
Bukachacha,90,RU,1563849464,71,52.99,116.91,58.36,6.51
Atar,21,MR,1563849465,16,20.52,-13.05,95.62,4.97
Havoysund,40,NO,1563849465,87,71.0,24.66,55.4,8.05
Cape Town,75,ZA,1563849087,93,-33.93,18.42,55.99,25.28
America Dourada,0,BR,1563849466,83,-11.46,-41.44,61.24,9.46
Athabasca,10,CA,1563849467,85,54.72,-113.29,69.34,4.54
Batagay-Alyta,0,RU,1563849467,32,67.8,130.41,63.94,5.19
Dzilam Gonzalez,34,MX,1563849468,75,21.28,-88.93,79.6,13.18
Bredasdorp,0,ZA,1563849468,67,-34.53,20.04,61.0,10.29
Cidreira,100,BR,1563849469,89,-30.17,-50.22,64.3,5.88
Zima,100,RU,1563849469,74,53.93,102.05,67.72,2.13
Mwene-Ditu,0,CD,1563849470,35,-7.01,23.45,61.24,5.35
Warmbad,32,DE,1563849471,87,50.67,13.08,64.0,2.24
Waddan,0,LY,1563849471,71,29.16,16.14,67.54,2.26
Victoria,75,BN,1563849472,74,5.28,115.24,84.2,5.82
Linxia,0,CN,1563849473,54,35.6,103.21,68.62,6.42
Constanza,40,DO,1563849473,88,18.91,-70.74,78.8,13.87
Constitucion,90,MX,1563849333,68,23.99,-104.67,64.99,6.93
Mahibadhoo,100,MV,1563849357,75,3.78,72.97,83.92,11.54
Thompson,75,CA,1563849336,53,55.74,-97.86,77.0,5.26
Saskylakh,100,RU,1563849476,40,71.97,114.09,74.38,14.81
San Felipe,0,CL,1563849477,99,-32.75,-70.73,44.01,4.12
Pyapon,98,MM,1563849477,73,16.29,95.68,86.08,11.97
Qasigiannguit,5,GL,1563849478,66,68.82,-51.19,48.2,7.25
Khatanga,100,RU,1563849345,55,71.98,102.47,60.16,14.07
Jamestown,46,AU,1563848996,61,-33.21,138.6,55.84,20.29
Kavieng,74,PG,1563849479,75,-2.57,150.8,83.2,6.62
Biloela,0,AU,1563849480,32,-24.4,150.51,74.2,4.94
Egvekinot,100,RU,1563849480,95,66.32,-179.17,44.5,3.67
Liverpool,20,GB,1563849481,87,53.41,-2.98,64.99,3.36
Katsuura,40,JP,1563849476,79,33.93,134.5,84.2,6.93
Kamenka,100,MD,1563849482,91,48.03,28.7,57.99,3.85
Kavaratti,100,IN,1563849482,77,10.57,72.64,82.84,23.38
Tete,40,MZ,1563849483,81,-16.16,33.59,51.8,0.72
Sarkand,100,KZ,1563849483,23,45.41,79.91,85.72,26.44
Kastamonu,0,TR,1563849484,77,41.38,33.78,51.7,1.52
Shache,0,CN,1563849484,82,38.42,77.24,78.01,13.87
Joshimath,0,IN,1563849487,78,30.57,79.57,63.04,4.41
Dalbandin,42,PK,1563849488,38,28.9,64.41,89.14,9.1
Porto Torres,0,IT,1563849489,83,40.84,8.4,69.8,2.24
Kozhevnikovo,0,RU,1563849489,62,56.26,83.98,64.48,4.38
Saint-Pierre,0,FR,1563849490,72,48.95,4.24,62.6,5.82
Tangzhai,85,CN,1563849490,72,26.73,109.0,84.28,5.53
Alice,0,ZA,1563849491,34,-32.79,26.83,56.2,7.76
Mount Gambier,75,AU,1563849491,93,-37.83,140.78,50.0,11.41
Cururupu,0,BR,1563849492,98,-1.82,-44.87,71.32,2.04
San Patricio,96,PY,1563849206,86,-26.98,-56.83,68.44,3.76
Port Lincoln,51,AU,1563849349,74,-34.72,135.86,59.08,37.07
Alta Floresta,0,BR,1563849494,69,-9.87,-56.08,77.0,2.24
Huambo,0,AO,1563849494,34,-12.78,15.73,46.84,0.4
Honggang,2,CN,1563849495,77,29.51,114.87,87.7,2.28
Santa Maria,0,BR,1563849495,63,-16.02,-48.01,64.4,3.36
Novopokrovka,40,UA,1563849496,77,49.84,36.56,68.0,6.71
Cunduacan,90,MX,1563849496,100,18.07,-93.17,73.4,3.24
Kashary,0,RU,1563849497,67,49.04,41.01,65.92,5.46
Bongandanga,100,CD,1563849497,82,1.51,21.07,71.32,2.13
Mar del Plata,73,AR,1563849328,63,-46.43,-67.52,37.48,16.28
Hokitika,41,NZ,1563849498,66,-42.72,170.96,54.58,3.58
Mandurah,100,AU,1563849499,75,-32.55,115.7,61.0,6.91
Hervey Bay,0,AU,1563849500,44,-25.3,152.85,81.0,4.7
Bethel,40,US,1563849500,60,60.79,-161.76,71.6,3.36
Soyo,0,AO,1563849501,91,-6.13,12.37,70.6,8.08
Vila Franca do Campo,20,PT,1563849501,88,37.72,-25.43,69.8,8.05
Mahebourg,40,MU,1563849502,77,-20.41,57.7,68.0,11.41
Azare,0,NG,1563849502,71,11.67,10.19,74.38,7.27
Kajaani,38,FI,1563849503,93,64.22,27.73,51.8,2.24
Tasiilaq,0,GL,1563849338,93,65.61,-37.64,42.8,1.12
Erenhot,2,CN,1563849504,33,43.65,111.97,80.68,13.91
Evanston,1,US,1563849497,68,42.04,-87.69,68.0,7.58
Itarema,0,BR,1563849355,80,-2.92,-39.92,75.46,7.94
Nam Dinh,100,VN,1563849505,55,20.42,106.17,91.84,5.23
Villaviciosa,90,ES,1563849506,100,43.48,-5.43,70.0,2.82
Richards Bay,0,ZA,1563849507,34,-28.77,32.06,65.74,6.73
Touros,75,BR,1563849508,74,-5.2,-35.46,78.8,9.17
Kahului,75,US,1563849321,65,20.89,-156.47,82.4,5.82
Aksarka,79,RU,1563849508,69,66.56,67.8,57.28,15.79
Rabo de Peixe,20,PT,1563849509,88,37.8,-25.58,69.8,8.05
Guerrero Negro,0,MX,1563849510,85,27.97,-114.04,68.26,9.33
San Luis,0,AR,1563849511,33,-33.3,-66.34,45.76,12.46
Nome,1,US,1563849511,100,30.04,-94.42,84.0,6.82
Massena,1,US,1563849512,88,44.93,-74.89,64.99,2.55
Havelock,1,US,1563849218,78,34.88,-76.9,84.0,16.11
Vila,0,IT,1563849514,88,45.18,8.4,80.01,5.82
Laguna,20,BZ,1563849514,88,16.17,-88.94,80.6,3.13
Larimna,0,GR,1563849515,60,38.57,23.28,82.4,4.7
Alice Springs,0,AU,1563849266,22,-23.7,133.88,69.8,11.41
Bull Savanna,36,JM,1563849516,76,17.89,-77.59,82.12,10.47
Port Blair,70,IN,1563849517,79,11.67,92.75,83.56,20.36
Lewiston,1,US,1563849517,77,44.1,-70.21,64.99,0.51
Cayenne,0,GF,1563849518,100,4.94,-52.33,75.2,3.31
Namibe,56,AO,1563849191,87,-15.19,12.15,63.58,17.05
Umm Lajj,0,SA,1563849204,69,25.02,37.27,83.92,6.24
Paka,100,CF,1563849520,98,4.15,15.03,67.72,2.3
Lazarev,100,RU,1563849521,98,52.23,141.51,56.56,16.96
Bubaque,100,GW,1563849521,89,11.28,-15.83,78.34,13.94
Kholm,5,AF,1563849522,16,36.69,67.7,93.2,2.24
Grindavik,0,IS,1563849523,100,63.84,-22.43,55.99,6.93
